step,val_loss,psnr,ssim,lpips,p_dino,r_fdd
8000,0.7093,19.4139,0.5024,0.5163,0.000378,6.6759
16000,0.6427,20.1229,0.5522,0.4477,0.000290,4.1639
24000,0.5992,20.5342,0.5918,0.3958,0.000252,3.2474
32000,0.5561,20.8290,0.6275,0.3364,0.000227,2.6729
40000,0.5137,21.0350,0.6518,0.2984,0.000210,2.2945
48000,0.4882,21.1719,0.6651,0.2791,0.000200,2.0938
56000,0.4759,21.2702,0.6733,0.2668,0.000193,1.9736
64000,0.4644,21.4268,0.6816,0.2547,0.000185,1.8289
72000,0.4591,21.5189,0.6880,0.2471,0.000180,1.7637
80000,0.4514,21.6331,0.6939,0.2397,0.000176,1.7200
88000,0.4449,21.7307,0.6983,0.2339,0.000171,1.6524
96000,0.3260,23.0390,0.7304,0.1786,0.000143,1.1001
104000,0.2761,23.4904,0.7456,0.1568,0.000129,0.9026
112000,0.2636,23.6627,0.7532,0.1488,0.000123,0.8274
120000,0.2548,23.8034,0.7591,0.1434,0.000119,0.7871
128000,0.2484,23.8979,0.7634,0.1392,0.000116,0.7609
136000,0.2435,23.9967,0.7678,0.1353,0.000114,0.7416
144000,0.2391,24.0811,0.7713,0.1330,0.000112,0.7298
152000,0.2377,24.1005,0.7730,0.1312,0.000111,0.7262
160000,0.2322,24.1246,0.7748,0.1303,0.000111,0.7396
168000,0.2270,24.1359,0.7761,0.1292,0.000112,0.7692
176000,0.2244,24.3139,0.7814,0.1245,0.000108,0.7060
184000,0.2220,24.3497,0.7830,0.1232,0.000107,0.7005
192000,0.2196,24.4378,0.7860,0.1213,0.000106,0.6927
200000,0.2185,24.4857,0.7881,0.1197,0.000105,0.6895
208000,0.2186,24.5070,0.7893,0.1188,0.000104,0.6891
216000,0.2230,24.4644,0.7885,0.1202,0.000105,0.6949
224000,0.2223,24.4890,0.7898,0.1188,0.000104,0.6979
232000,0.2202,24.5310,0.7916,0.1176,0.000104,0.6984
240000,0.2173,24.5845,0.7937,0.1160,0.000103,0.6924
248000,0.2145,24.6423,0.7959,0.1146,0.000102,0.6962
256000,0.2121,24.6892,0.7975,0.1134,0.000102,0.7024
264000,0.2103,24.7362,0.7991,0.1124,0.000101,0.6933
272000,0.2086,24.7466,0.7997,0.1114,0.000101,0.6869
